date,views,category,temperature,humidity,day_of_week,month,year,is_weekend,is_holiday
2023-02-25,2480,business,27.3,62.6,5,2,2023,0,0
2023-02-26,3150,sports,31.8,53.2,6,2,2023,1,0
2023-02-27,2880,technology,29.4,57.1,0,2,2023,1,0
2023-02-28,2520,business,27.5,62.8,1,2,2023,0,0
2023-03-01,2380,sports,25.7,65.3,2,3,2023,0,0
2023-03-02,2250,entertainment,23.9,68.1,3,3,2023,0,0
2023-03-03,2420,technology,26.4,64.7,4,3,2023,0,0
2023-03-04,2750,business,28.6,61.9,5,3,2023,0,0
2023-03-05,3450,sports,33.2,51.8,6,3,2023,1,0
2023-03-06,3180,technology,31.1,55.6,0,3,2023,1,0
2023-03-07,2820,business,29.2,60.4,1,3,2023,0,0
2023-03-08,2680,sports,27.4,63.2,2,3,2023,0,0
2023-03-09,2550,entertainment,25.6,66.1,3,3,2023,0,0
2023-03-10,2720,technology,28.1,62.8,4,3,2023,0,0
2023-03-11,3050,business,30.3,59.7,5,3,2023,0,0
2023-03-12,3850,sports,35.8,49.4,6,3,2023,1,0
2023-03-13,3580,technology,33.7,53.2,0,3,2023,1,0
2023-03-14,3220,business,31.8,58.1,1,3,2023,0,0
2023-03-15,3080,sports,29.9,61.3,2,3,2023,0,0
2023-03-16,2950,entertainment,28.2,64.2,3,3,2023,0,0
2023-03-17,3120,technology,30.7,60.9,4,3,2023,0,0
2023-03-18,3450,business,32.9,57.8,5,3,2023,0,0
2023-03-19,4250,sports,38.4,47.6,6,3,2023,1,0
2023-03-20,3980,technology,36.3,51.4,0,3,2023,1,0
2023-03-21,3620,business,34.4,56.3,1,3,2023,0,0
2023-03-22,3480,sports,32.5,59.6,2,3,2023,0,0
2023-03-23,3350,entertainment,30.8,62.4,3,3,2023,0,0
2023-03-24,3520,technology,33.3,59.1,4,3,2023,0,0
2023-03-25,3850,business,35.5,56.0,5,3,2023,0,0
2023-03-26,4650,sports,41.0,45.8,6,3,2023,1,0
2023-03-27,4380,technology,38.9,49.6,0,3,2023,1,0
2023-03-28,4020,business,37.0,54.5,1,3,2023,0,0
2023-03-29,3880,sports,35.1,57.8,2,3,2023,0,0
2023-03-30,3750,entertainment,33.4,60.6,3,3,2023,0,0
2023-03-31,3920,technology,35.9,57.3,4,3,2023,0,0
