date,views,likes,comments,shares,category,upload_time
2023-02-18,25192,625,465,162,Tech,02:00:00
2023-02-19,34843,706,227,242,Tech,23:00:00
2023-02-20,180462,7138,1509,1337,Entertainment,23:00:00
2023-02-21,34487,935,340,266,Education,00:00:00
2023-02-22,41425,1645,560,76,Education,14:00:00
2023-02-23,128206,3978,1151,409,Entertainment,08:00:00
2023-02-24,93331,4364,1350,760,Entertainment,03:00:00
2023-02-25,35096,1231,479,190,Tech,11:00:00
2023-02-26,53587,1523,287,364,Sports,23:00:00
2023-02-27,30633,775,585,293,Tech,12:00:00
2023-02-28,71631,1465,1355,347,Gaming,21:00:00
2023-03-01,39349,1928,765,341,Education,09:00:00
2023-03-02,89900,4093,876,227,Entertainment,15:00:00
2023-03-03,38756,1422,738,281,Gaming,17:00:00
2023-03-04,66249,2547,1315,149,Entertainment,17:00:00
2023-03-05,95054,3379,1726,728,Entertainment,00:00:00
2023-03-06,55995,1723,526,463,Tech,00:00:00
2023-03-07,214540,9504,3863,1977,Music,09:00:00
2023-03-08,56737,2493,836,415,Tech,08:00:00
2023-03-09,375501,16474,6890,1517,Entertainment,02:00:00
2023-03-10,19744,737,109,102,Education,16:00:00
2023-03-11,40983,1486,381,258,Sports,17:00:00
2023-03-12,80241,1910,1029,636,Entertainment,03:00:00
2023-03-13,57103,1511,819,100,Tech,12:00:00
2023-03-14,48395,1752,704,364,Tech,18:00:00
2023-03-15,40662,2003,518,158,Tech,08:00:00
2023-03-16,98524,3267,608,121,Entertainment,16:00:00
2023-03-17,49000,2395,859,355,Tech,09:00:00
2023-03-18,19483,481,170,115,News,20:00:00
2023-03-19,31830,1318,474,112,Tech,19:00:00
2023-03-20,78989,2574,688,332,Tech,08:00:00
2023-03-21,109982,4700,573,224,Gaming,00:00:00
2023-03-22,152674,5225,987,828,Entertainment,14:00:00
2023-03-23,95994,3283,729,470,Gaming,16:00:00
2023-03-24,104503,4081,593,456,Gaming,02:00:00
2023-03-25,36813,1427,461,320,Gaming,09:00:00
2023-03-26,70722,1564,1035,87,Entertainment,08:00:00
2023-03-27,48542,1823,927,299,Tech,12:00:00
2023-03-28,52496,1771,692,497,Education,19:00:00
2023-03-29,93128,2941,1808,851,Entertainment,07:00:00
2023-03-30,50151,1110,490,431,Tech,10:00:00
2023-03-31,53618,1109,923,189,Gaming,15:00:00
2023-04-01,38087,1480,691,290,Tech,10:00:00
2023-04-02,19438,857,179,50,Education,02:00:00
2023-04-03,142105,7064,1590,617,Entertainment,15:00:00
2023-04-04,98652,4270,997,925,Gaming,16:00:00
2023-04-05,31833,1353,519,61,Education,04:00:00
2023-04-06,107502,5060,1352,907,Gaming,14:00:00
2023-04-07,79765,2526,411,729,Gaming,05:00:00
2023-04-08,31344,712,306,299,Tech,18:00:00
2023-04-09,61891,2410,725,225,Gaming,18:00:00
2023-04-10,34089,1017,514,264,Education,03:00:00
2023-04-11,159111,3617,1975,241,Entertainment,14:00:00
2023-04-12,102924,3755,1196,925,Gaming,02:00:00
2023-04-13,24211,588,397,158,Education,08:00:00
2023-04-14,35505,817,222,259,Tech,11:00:00
2023-04-15,19950,449,395,87,Education,20:00:00
2023-04-16,64544,2008,1109,614,Gaming,00:00:00
2023-04-17,34513,1494,461,166,Tech,21:00:00
2023-04-18,30954,1460,206,168,Education,09:00:00
2023-04-19,135633,2941,919,279,Entertainment,16:00:00
2023-04-20,28429,1122,460,177,Education,14:00:00
2023-04-21,37808,1080,681,113,Tech,07:00:00
2023-04-22,64713,3164,335,629,Gaming,01:00:00
2023-04-23,102829,2284,1368,999,Entertainment,01:00:00
2023-04-24,42874,1530,619,311,Tech,02:00:00
2023-04-25,94172,3534,1743,132,Tech,20:00:00
2023-04-26,107982,3069,2079,973,Entertainment,01:00:00
2023-04-27,238281,6748,1863,1232,Entertainment,19:00:00
2023-04-28,50867,1556,699,86,Gaming,02:00:00
2023-04-29,25303,741,435,181,Education,10:00:00
2023-04-30,209895,5221,3917,1763,Music,18:00:00
2023-05-01,28580,1371,514,40,Tech,13:00:00
2023-05-02,226620,4711,2412,1879,Entertainment,12:00:00
2023-05-03,80769,3965,1424,690,Entertainment,13:00:00
2023-05-04,230147,7838,2582,796,Music,06:00:00
2023-05-05,103101,4440,1976,891,Entertainment,09:00:00
2023-05-06,57441,1575,675,124,Gaming,03:00:00
2023-05-07,98318,2640,1482,645,Entertainment,12:00:00
2023-05-08,163721,5033,1097,1153,Music,02:00:00
2023-05-09,128995,4592,2293,769,Gaming,15:00:00
2023-05-10,138432,5098,2512,641,Entertainment,02:00:00
2023-05-11,147334,6058,1207,328,Entertainment,13:00:00
2023-05-12,95962,1961,984,605,Gaming,10:00:00
2023-05-13,39270,1850,401,220,Gaming,07:00:00
2023-05-14,31774,1382,347,209,Gaming,12:00:00
2023-05-15,66523,2246,1310,361,Entertainment,09:00:00
2023-05-16,39332,1174,570,124,News,20:00:00
2023-05-17,147325,3750,1500,1336,Entertainment,16:00:00
2023-05-18,90348,3091,1356,230,Entertainment,21:00:00
2023-05-19,53538,1355,338,111,Gaming,20:00:00
2023-05-20,43521,1472,352,186,Gaming,20:00:00
2023-05-21,166518,3526,2829,1107,Entertainment,04:00:00
2023-05-22,41393,929,749,384,Tech,08:00:00
2023-05-23,45682,2018,741,121,Tech,14:00:00
2023-05-24,30387,798,320,162,Education,12:00:00
2023-05-25,28044,950,454,37,Tech,20:00:00
2023-05-26,93003,2564,1460,842,Gaming,15:00:00
2023-05-27,54662,1268,640,316,Education,01:00:00
2023-05-28,47608,1298,430,209,Tech,05:00:00
2023-05-29,44173,1042,810,280,Sports,05:00:00
2023-05-30,22352,902,376,122,Education,12:00:00
2023-05-31,48913,1839,791,238,Tech,00:00:00
2023-06-01,55780,1329,516,238,Gaming,20:00:00
2023-06-02,159785,4902,3163,1030,Music,17:00:00
2023-06-03,94301,2557,615,224,Gaming,11:00:00
2023-06-04,73130,1871,678,187,Entertainment,12:00:00
2023-06-05,56722,2660,351,324,Gaming,10:00:00
2023-06-06,164133,3834,1800,1596,Music,01:00:00
2023-06-07,30711,1411,529,101,Education,08:00:00
2023-06-08,49265,2358,657,302,Tech,04:00:00
2023-06-09,17652,501,292,47,Education,19:00:00
2023-06-10,24805,873,214,50,Tech,13:00:00
2023-06-11,31589,1210,294,196,Gaming,21:00:00
2023-06-12,25146,904,145,101,Education,23:00:00
2023-06-13,20551,493,122,203,Education,19:00:00
2023-06-14,102892,2843,1566,806,Gaming,17:00:00
2023-06-15,34790,1317,420,163,Tech,21:00:00
2023-06-16,27450,1233,534,58,Education,18:00:00
2023-06-17,19077,799,363,50,Education,08:00:00
2023-06-18,86899,3235,1531,196,Entertainment,03:00:00
2023-06-19,23854,1046,191,58,Education,18:00:00
2023-06-20,48613,1942,624,205,Tech,16:00:00
2023-06-21,39182,1814,426,327,Tech,09:00:00
2023-06-22,14566,493,138,112,Education,08:00:00
2023-06-23,41515,1456,352,377,Gaming,05:00:00
2023-06-24,37953,1791,545,77,Tech,18:00:00
2023-06-25,21214,1022,305,85,Sports,08:00:00
2023-06-26,40358,1557,524,365,Tech,12:00:00
2023-06-27,98855,4315,719,376,Entertainment,19:00:00
2023-06-28,55434,1164,751,435,Tech,01:00:00
2023-06-29,20180,934,204,169,Education,08:00:00
2023-06-30,80529,3536,583,246,Entertainment,23:00:00
2023-07-01,35715,1488,564,241,Gaming,14:00:00
2023-07-02,33953,935,345,89,Tech,15:00:00
2023-07-03,62159,2937,854,286,Tech,23:00:00
2023-07-04,82660,2033,1140,459,Gaming,20:00:00
2023-07-05,68733,2635,362,608,Gaming,01:00:00
2023-07-06,39235,1604,739,288,Tech,12:00:00
2023-07-07,26327,647,359,170,Education,14:00:00
2023-07-08,149864,7198,2829,757,Music,23:00:00
2023-07-09,66530,1556,1315,568,Entertainment,10:00:00
2023-07-10,58166,2195,638,86,Gaming,15:00:00
2023-07-11,54861,1648,934,57,Tech,09:00:00
2023-07-12,20001,722,375,82,Education,14:00:00
2023-07-13,22398,681,359,113,Tech,09:00:00
2023-07-14,28475,689,217,156,Tech,10:00:00
2023-07-15,28678,933,536,122,Gaming,03:00:00
2023-07-16,49069,1000,733,127,Tech,21:00:00
2023-07-17,124314,6070,898,588,Entertainment,21:00:00
2023-07-18,220868,4861,3588,638,Entertainment,09:00:00
2023-07-19,106868,5016,863,290,Entertainment,00:00:00
2023-07-20,35292,1303,211,281,Tech,11:00:00
2023-07-21,67541,2269,868,335,Entertainment,15:00:00
2023-07-22,38018,937,293,332,Tech,11:00:00
2023-07-23,24418,1181,258,83,Gaming,13:00:00
2023-07-24,76921,1597,564,572,Music,23:00:00
2023-07-25,104501,4155,564,313,Gaming,02:00:00
2023-07-26,126257,2599,828,1035,Entertainment,15:00:00
2023-07-27,24601,623,363,77,Tech,16:00:00
2023-07-28,17911,746,319,151,Education,14:00:00
2023-07-29,37740,1204,566,107,Gaming,05:00:00
2023-07-30,52639,1073,330,151,Gaming,07:00:00
2023-07-31,28428,591,219,177,Tech,17:00:00
2023-08-01,78972,3516,799,263,Gaming,12:00:00
2023-08-02,93207,2925,1291,318,Entertainment,05:00:00
2023-08-03,60753,2221,701,221,Entertainment,13:00:00
2023-08-04,47379,2295,779,107,Tech,14:00:00
2023-08-05,40479,1895,688,195,Gaming,17:00:00
2023-08-06,95163,1967,859,559,Entertainment,03:00:00
2023-08-07,20187,488,353,199,Tech,07:00:00
2023-08-08,58042,2076,439,200,Sports,16:00:00
2023-08-09,38011,1072,506,260,Tech,12:00:00
2023-08-10,80679,3621,653,88,Music,03:00:00
2023-08-11,29332,1115,439,75,Tech,16:00:00
2023-08-12,85395,4050,963,379,Entertainment,23:00:00
2023-08-13,55027,1375,884,96,Entertainment,22:00:00
2023-08-14,19743,752,171,88,Education,13:00:00
2023-08-15,17104,711,161,104,Education,12:00:00
2023-08-16,15483,530,231,146,Education,12:00:00
2023-08-17,16264,340,145,103,Education,15:00:00
2023-08-18,32598,702,405,207,Tech,08:00:00
2023-08-19,54593,1266,334,412,Gaming,15:00:00
2023-08-20,52319,1824,801,257,Entertainment,13:00:00
2023-08-21,94355,4149,1454,325,Entertainment,08:00:00
2023-08-22,46420,1750,483,84,Gaming,08:00:00
2023-08-23,33204,848,435,294,Tech,09:00:00
2023-08-24,98862,4148,1690,685,Entertainment,04:00:00
2023-08-25,33100,909,408,98,Tech,14:00:00
2023-08-26,69309,3439,1328,93,Entertainment,01:00:00
2023-08-27,26911,684,363,248,Tech,12:00:00
2023-08-28,29752,625,460,109,Tech,08:00:00
2023-08-29,31848,1460,562,123,Tech,20:00:00
2023-08-30,108643,4874,603,691,Entertainment,16:00:00
2023-08-31,17623,393,272,71,Education,15:00:00
2023-09-01,23000,960,137,88,Tech,00:00:00
2023-09-02,34246,1012,492,307,Tech,15:00:00
2023-09-03,16399,630,139,20,Education,22:00:00
2023-09-04,28106,1353,477,280,Tech,15:00:00
2023-09-05,116127,3544,1917,536,Entertainment,15:00:00
2023-09-06,65004,3003,1284,514,Tech,08:00:00
2023-09-07,26544,863,300,202,Tech,01:00:00
2023-09-08,21879,670,203,80,Tech,14:00:00
2023-09-09,20064,541,112,23,Tech,06:00:00
2023-09-10,22602,712,343,66,Tech,05:00:00
2023-09-11,77311,3749,1298,139,Entertainment,00:00:00
2023-09-12,41916,2026,503,273,Tech,12:00:00
2023-09-13,50315,1258,999,155,Gaming,15:00:00
2023-09-14,51217,1958,649,157,Gaming,12:00:00
2023-09-15,47397,1198,393,126,Gaming,11:00:00
2023-09-16,29734,646,580,266,Gaming,09:00:00
2023-09-17,86140,4120,1716,220,Entertainment,11:00:00
2023-09-18,27335,1117,199,228,Education,17:00:00
2023-09-19,26068,696,217,152,Tech,03:00:00
2023-09-20,84701,1926,1538,287,Gaming,14:00:00
2023-09-21,41469,990,760,398,News,11:00:00
2023-09-22,26570,1053,352,47,Tech,02:00:00
2023-09-23,31676,1021,335,105,Sports,01:00:00
2023-09-24,59444,1333,493,424,Entertainment,22:00:00
2023-09-25,76191,1697,1353,415,Gaming,00:00:00
2023-09-26,109754,4910,1121,779,Gaming,03:00:00
2023-09-27,72521,2681,653,645,Entertainment,14:00:00
2023-09-28,34634,1576,623,255,Tech,14:00:00
2023-09-29,22673,1022,350,161,Education,06:00:00
2023-09-30,86824,2149,1581,768,Entertainment,17:00:00
2023-10-01,45665,953,793,98,Gaming,18:00:00
2023-10-02,51229,1271,884,434,Sports,03:00:00
2023-10-03,64624,2276,329,231,Entertainment,21:00:00
2023-10-04,90456,3523,804,606,Entertainment,21:00:00
2023-10-05,29572,1070,493,58,Tech,21:00:00
2023-10-06,44072,2154,446,295,Gaming,14:00:00
2023-10-07,23178,1111,151,218,Education,08:00:00
2023-10-08,53022,1539,828,85,Entertainment,09:00:00
2023-10-09,76290,2858,777,502,Entertainment,18:00:00
2023-10-10,17626,753,94,21,Education,12:00:00
2023-10-11,60415,1794,744,479,Gaming,13:00:00
2023-10-12,66594,1878,1329,322,Entertainment,02:00:00
2023-10-13,116473,3906,868,949,Entertainment,00:00:00
2023-10-14,16155,363,245,111,Tech,11:00:00
2023-10-15,28512,803,549,67,Tech,10:00:00
2023-10-16,22196,723,323,101,Education,11:00:00
2023-10-17,51383,1450,1015,240,Gaming,05:00:00
2023-10-18,81636,2154,446,560,Entertainment,15:00:00
2023-10-19,88959,2762,1598,467,Entertainment,21:00:00
2023-10-20,18691,806,330,146,Education,11:00:00
2023-10-21,17102,663,119,22,Education,13:00:00
2023-10-22,24943,1094,304,51,Tech,08:00:00
2023-10-23,115315,2739,1762,561,Music,08:00:00
2023-10-24,21373,468,293,73,Education,08:00:00
2023-10-25,21906,962,211,111,Tech,13:00:00
2023-10-26,26816,1019,251,194,Tech,01:00:00
2023-10-27,8346,382,139,11,Education,07:00:00
2023-10-28,28583,779,565,65,Gaming,17:00:00
2023-10-29,23773,831,339,174,Tech,19:00:00
2023-10-30,17906,533,228,32,Education,09:00:00
2023-10-31,55990,1708,307,95,Gaming,22:00:00
2023-11-01,42677,1580,654,350,Gaming,16:00:00
2023-11-02,29031,754,218,56,Tech,15:00:00
2023-11-03,108172,2265,2059,158,Entertainment,15:00:00
2023-11-04,31150,1128,487,275,Tech,15:00:00
2023-11-05,54175,1635,933,93,Gaming,06:00:00
2023-11-06,95477,4472,1261,797,Entertainment,09:00:00
2023-11-07,170871,6115,2729,296,Entertainment,13:00:00
2023-11-08,77418,1688,674,188,Entertainment,12:00:00
2023-11-09,19757,973,198,52,Education,09:00:00
2023-11-10,20859,911,310,114,Education,08:00:00
2023-11-11,68308,1834,1362,667,Gaming,03:00:00
2023-11-12,48842,1929,390,347,Gaming,03:00:00
2023-11-13,75617,3482,1202,581,Entertainment,17:00:00
2023-11-14,35974,1178,366,156,Gaming,06:00:00
2023-11-15,39568,1312,628,212,Tech,14:00:00
2023-11-16,61740,2852,1142,296,Sports,16:00:00
2023-11-17,92671,4389,756,612,Entertainment,23:00:00
2023-11-18,10522,409,168,22,Education,09:00:00
2023-11-19,30952,785,265,301,Tech,09:00:00
2023-11-20,22933,583,408,124,Education,05:00:00
2023-11-21,72576,2421,923,307,Gaming,01:00:00
2023-11-22,34400,1299,256,155,Tech,21:00:00
2023-11-23,63589,2747,442,618,Entertainment,17:00:00
2023-11-24,70165,2358,599,116,Gaming,00:00:00
2023-11-25,44939,1353,783,219,Gaming,13:00:00
2023-11-26,18901,519,269,139,Tech,22:00:00
2023-11-27,29827,629,478,208,Tech,18:00:00
2023-11-28,57815,1979,1021,477,Gaming,01:00:00
2023-11-29,54547,1427,364,186,Tech,13:00:00
2023-11-30,104951,2278,1360,989,Entertainment,04:00:00
2023-12-01,25722,758,324,35,Education,21:00:00
2023-12-02,44679,1092,884,432,Gaming,07:00:00
2023-12-03,101649,3419,1294,548,Entertainment,12:00:00
2023-12-04,102172,4087,724,129,Entertainment,15:00:00
2023-12-05,37346,973,563,363,Education,10:00:00
2023-12-06,101919,2325,1537,508,Music,09:00:00
2023-12-07,24063,981,422,228,Education,23:00:00
2023-12-08,34491,1396,429,226,Tech,13:00:00
2023-12-09,81179,1697,1539,584,Entertainment,17:00:00
2023-12-10,138057,5563,1136,956,Music,06:00:00
2023-12-11,156889,3639,2332,1568,Entertainment,07:00:00
2023-12-12,49552,1062,974,231,Gaming,07:00:00
2023-12-13,128041,4738,2058,1140,Entertainment,04:00:00
2023-12-14,45283,1454,448,317,Tech,14:00:00
2023-12-15,40356,1773,465,337,Tech,01:00:00
2023-12-16,61542,1452,810,64,Gaming,08:00:00
2023-12-17,15138,482,233,68,Education,02:00:00
2023-12-18,24428,817,209,106,Tech,08:00:00
2023-12-19,47765,1842,570,211,Education,13:00:00
2023-12-20,41084,1885,525,218,Education,07:00:00
2023-12-21,45755,1711,594,296,Gaming,06:00:00
2023-12-22,35826,1538,616,267,Gaming,07:00:00
2023-12-23,65362,1784,1235,100,Gaming,01:00:00
2023-12-24,95542,4589,981,182,Entertainment,14:00:00
2023-12-25,15754,449,151,129,Education,20:00:00
2023-12-26,44358,1604,428,288,Tech,11:00:00
2023-12-27,35297,1143,241,92,Tech,10:00:00
2023-12-28,57627,2330,444,329,Tech,12:00:00
2023-12-29,30672,1135,271,296,Tech,13:00:00
2023-12-30,23904,824,408,142,Education,15:00:00
2023-12-31,95087,4615,1333,796,Entertainment,00:00:00
